spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
tvc,0.11015853459422148,0.014315373385999435,0.08210091833241939,0.13821615085602357,1.692092972334917e-14,19,jensen_full_like,0.1112,0.4792,5000,10000
safe,0.0863667627790212,0.014659075281780176,0.05763550318007071,0.11509802237797168,4.072803030415625e-9,19,jensen_full_like,0.1112,0.4792,5000,10000
full,0.08062267638665109,0.014636942824309445,0.0519347956072326,0.10931055716606958,3.807431770459958e-8,19,jensen_full_like,0.1112,0.4792,5000,10000
base,0.12282681321257888,0.014168951249296215,0.0950561790652545,0.15059744735990327,5.822398288609959e-18,20,jensen_full_like,0.1112,0.4852,5000,10000
tvc,0.10664437640428104,0.014173355996118478,0.07886510911182401,0.13442364369673807,6.249901307869706e-14,20,jensen_full_like,0.1112,0.4852,5000,10000
safe,0.08912013489087314,0.014489798236832194,0.06072065220343007,0.11751961757831622,8.322656822669833e-10,20,jensen_full_like,0.1112,0.4852,5000,10000
full,0.08115057131233794,0.014473284942653136,0.05278345408675193,0.10951768853792394,2.1701845558926077e-8,20,jensen_full_like,0.1112,0.4852,5000,10000
base,0.14870462663376963,0.014408703552221177,0.12046408660750178,0.17694516666003746,1.0068097852349509e-24,21,jensen_full_like,0.1112,0.472,5000,10000
tvc,0.13334652950501213,0.014449974900061117,0.10502509912338459,0.16166795988663968,3.974383704053807e-20,21,jensen_full_like,0.1112,0.472,5000,10000
safe,0.11494253742369435,0.01481853578310853,0.0858987409851836,0.1439863338622051,1.049599507241353e-14,21,jensen_full_like,0.1112,0.472,5000,10000
full,0.10715975895553988,0.014820575243617925,0.07811196524788282,0.13620755266319695,5.541443067469613e-13,21,jensen_full_like,0.1112,0.472,5000,10000
base,0.12078554724427107,0.014495521539880795,0.09237484708898014,0.149196247399562,1.0110645190802778e-16,22,jensen_full_like,0.1112,0.4696,5000,10000
tvc,0.10450416669624105,0.01454285299685808,0.07600069858993883,0.13300763480254327,7.658370023698473e-13,22,jensen_full_like,0.1112,0.4696,5000,10000
safe,0.0881212174452002,0.014855167490289568,0.05900562417992239,0.117236810710478,3.1935027560306796e-9,22,jensen_full_like,0.1112,0.4696,5000,10000
full,0.07926220067325676,0.014844271328718388,0.05016796349222819,0.10835643785428534,9.728403155396925e-8,22,jensen_full_like,0.1112,0.4696,5000,10000
base,0.11589780183351643,0.01414538153629237,0.08817336347480553,0.14362224019222733,3.1980092697968497e-16,23,jensen_full_like,0.1112,0.4844,5000,10000
tvc,0.10453337601926843,0.01424505505544592,0.07661358115280421,0.13245317088573266,2.513025389993996e-13,23,jensen_full_like,0.1112,0.4844,5000,10000
safe,0.08308786752767196,0.014340527704807041,0.05498094970695132,0.1111947853483926,7.297139821063475e-9,23,jensen_full_like,0.1112,0.4844,5000,10000
full,0.07777439234660247,0.014377166170649509,0.049595664452381796,0.10595312024082314,6.611704697769231e-8,23,jensen_full_like,0.1112,0.4844,5000,10000
