iso	year	name	coloniser
"LBY"	1967	"Libya"	"Italy"
"LBY"	1968	"Libya"	"Italy"
"LBY"	1969	"Libya"	"Italy"
"LBY"	1970	"Libya"	"Italy"
"LBY"	1971	"Libya"	"Italy"
"LBY"	1972	"Libya"	"Italy"
"LBY"	1973	"Libya"	"Italy"
"LBY"	1974	"Libya"	"Italy"
"LBY"	1975	"Libya"	"Italy"
"LBY"	1976	"Libya"	"Italy"
"LBY"	1977	"Libya"	"Italy"
"LBY"	1978	"Libya"	"Italy"
"LBY"	1979	"Libya"	"Italy"
"LBY"	1980	"Libya"	"Italy"
"LBY"	1981	"Libya"	"Italy"
"LBY"	1982	"Libya"	"Italy"
"LBY"	1983	"Libya"	"Italy"
"LBY"	1984	"Libya"	"Italy"
"LBY"	1985	"Libya"	"Italy"
"LBY"	1986	"Libya"	"Italy"
"LBY"	1987	"Libya"	"Italy"
"LBY"	1988	"Libya"	"Italy"
"LBY"	1989	"Libya"	"Italy"
"LBY"	1990	"Libya"	"Italy"
"LBY"	1991	"Libya"	"Italy"
"LBY"	1992	"Libya"	"Italy"
"LBY"	1993	"Libya"	"Italy"
"LBY"	1994	"Libya"	"Italy"
"LBY"	1995	"Libya"	"Italy"
"LBY"	1996	"Libya"	"Italy"
"LBY"	1997	"Libya"	"Italy"
"LBY"	1998	"Libya"	"Italy"
"LBY"	1999	"Libya"	"Italy"
"LBY"	2000	"Libya"	"Italy"
"LBY"	2001	"Libya"	"Italy"
"LBY"	2002	"Libya"	"Italy"
"LBY"	2003	"Libya"	"Italy"
"LBY"	2004	"Libya"	"Italy"
"LBY"	2005	"Libya"	"Italy"
"LBY"	2006	"Libya"	"Italy"
"LBY"	2007	"Libya"	"Italy"
"LBY"	2008	"Libya"	"Italy"
"LBY"	2009	"Libya"	"Italy"
"LBY"	2010	"Libya"	"Italy"
"LBY"	2011	"Libya"	"Italy"
"LBY"	2012	"Libya"	"Italy"
"LBY"	2013	"Libya"	"Italy"
"LBY"	2014	"Libya"	"Italy"
"LBY"	2015	"Libya"	"Italy"
"ETH"	1890	"Ethiopia"	"None"
"ETH"	1891	"Ethiopia"	"None"
"ETH"	1892	"Ethiopia"	"None"
"ETH"	1893	"Ethiopia"	"None"
"ETH"	1894	"Ethiopia"	"None"
"ETH"	1895	"Ethiopia"	"None"
"ETH"	1896	"Ethiopia"	"None"
"ETH"	1897	"Ethiopia"	"None"
"ETH"	1898	"Ethiopia"	"None"
"ETH"	1899	"Ethiopia"	"None"
"ETH"	1900	"Ethiopia"	"None"
"ETH"	1901	"Ethiopia"	"None"
"ETH"	1902	"Ethiopia"	"None"
"ETH"	1903	"Ethiopia"	"None"
"ETH"	1904	"Ethiopia"	"None"
"ETH"	1905	"Ethiopia"	"None"
"ETH"	1906	"Ethiopia"	"None"
"ETH"	1907	"Ethiopia"	"None"
"ETH"	1908	"Ethiopia"	"None"
"ETH"	1909	"Ethiopia"	"None"
"ETH"	1910	"Ethiopia"	"None"
"ETH"	1911	"Ethiopia"	"None"
"ETH"	1912	"Ethiopia"	"None"
"ETH"	1913	"Ethiopia"	"None"
"ETH"	1914	"Ethiopia"	"None"
"ETH"	1915	"Ethiopia"	"None"
"ETH"	1916	"Ethiopia"	"None"
"ETH"	1917	"Ethiopia"	"None"
"ETH"	1918	"Ethiopia"	"None"
"ETH"	1919	"Ethiopia"	"None"
"ETH"	1920	"Ethiopia"	"None"
"ETH"	1921	"Ethiopia"	"None"
"ETH"	1922	"Ethiopia"	"None"
"ETH"	1923	"Ethiopia"	"None"
"ETH"	1924	"Ethiopia"	"None"
"ETH"	1925	"Ethiopia"	"None"
"ETH"	1926	"Ethiopia"	"None"
"ETH"	1927	"Ethiopia"	"None"
"ETH"	1928	"Ethiopia"	"None"
"ETH"	1929	"Ethiopia"	"None"
"ETH"	1930	"Ethiopia"	"None"
"ETH"	1931	"Ethiopia"	"None"
"ETH"	1932	"Ethiopia"	"None"
"ETH"	1933	"Ethiopia"	"None"
"ETH"	1934	"Ethiopia"	"None"
"ETH"	1935	"Ethiopia"	"None"
"ETH"	1936	"Ethiopia"	"None"
"ETH"	1937	"Ethiopia"	"None"
"ETH"	1938	"Ethiopia"	"None"
"ETH"	1939	"Ethiopia"	"None"
"ETH"	1940	"Ethiopia"	"None"
"ETH"	1941	"Ethiopia"	"None"
"ETH"	1942	"Ethiopia"	"None"
"ETH"	1943	"Ethiopia"	"None"
"ETH"	1944	"Ethiopia"	"None"
"ETH"	1945	"Ethiopia"	"None"
"ETH"	1946	"Ethiopia"	"None"
"ETH"	1947	"Ethiopia"	"None"
"ETH"	1948	"Ethiopia"	"None"
"ETH"	1949	"Ethiopia"	"None"
"ETH"	1950	"Ethiopia"	"None"
"ETH"	1951	"Ethiopia"	"None"
"ETH"	1952	"Ethiopia"	"None"
"ETH"	1953	"Ethiopia"	"None"
"ETH"	1954	"Ethiopia"	"None"
"ETH"	1955	"Ethiopia"	"None"
"ETH"	1956	"Ethiopia"	"None"
"ETH"	1957	"Ethiopia"	"None"
"ETH"	1958	"Ethiopia"	"None"
"ETH"	1959	"Ethiopia"	"None"
"ETH"	1960	"Ethiopia"	"None"
"ETH"	1961	"Ethiopia"	"None"
"ETH"	1962	"Ethiopia"	"None"
"ETH"	1963	"Ethiopia"	"None"
"ETH"	1964	"Ethiopia"	"None"
"ETH"	1965	"Ethiopia"	"None"
"ETH"	1966	"Ethiopia"	"None"
"ETH"	1967	"Ethiopia"	"None"
"ETH"	1968	"Ethiopia"	"None"
"ETH"	1969	"Ethiopia"	"None"
"ETH"	1970	"Ethiopia"	"None"
"ETH"	1971	"Ethiopia"	"None"
"ETH"	1972	"Ethiopia"	"None"
"ETH"	1973	"Ethiopia"	"None"
"ETH"	1974	"Ethiopia"	"None"
"ETH"	1975	"Ethiopia"	"None"
"ETH"	1976	"Ethiopia"	"None"
"ETH"	1977	"Ethiopia"	"None"
"ETH"	1978	"Ethiopia"	"None"
"ETH"	1979	"Ethiopia"	"None"
"ETH"	1980	"Ethiopia"	"None"
"ETH"	1981	"Ethiopia"	"None"
"ETH"	1982	"Ethiopia"	"None"
"ETH"	1983	"Ethiopia"	"None"
"ETH"	1984	"Ethiopia"	"None"
"ETH"	1985	"Ethiopia"	"None"
"ETH"	1986	"Ethiopia"	"None"
"ETH"	1987	"Ethiopia"	"None"
"ETH"	1988	"Ethiopia"	"None"
"ETH"	1989	"Ethiopia"	"None"
"ETH"	1990	"Ethiopia"	"None"
"ETH"	1991	"Ethiopia"	"None"
"ETH"	1992	"Ethiopia"	"None"
"ETH"	1993	"Ethiopia"	"None"
"ETH"	1994	"Ethiopia"	"None"
"ETH"	1995	"Ethiopia"	"None"
"ETH"	1996	"Ethiopia"	"None"
"ETH"	1997	"Ethiopia"	"None"
"ETH"	1998	"Ethiopia"	"None"
"ETH"	1999	"Ethiopia"	"None"
"ETH"	2000	"Ethiopia"	"None"
"ETH"	2001	"Ethiopia"	"None"
"ETH"	2002	"Ethiopia"	"None"
"ETH"	2003	"Ethiopia"	"None"
"ETH"	2004	"Ethiopia"	"None"
"ETH"	2005	"Ethiopia"	"None"
"ETH"	2006	"Ethiopia"	"None"
"ETH"	2007	"Ethiopia"	"None"
"ETH"	2008	"Ethiopia"	"None"
"ETH"	2009	"Ethiopia"	"None"
"ETH"	2010	"Ethiopia"	"None"
"ETH"	2011	"Ethiopia"	"None"
"ETH"	2012	"Ethiopia"	"None"
"ETH"	2013	"Ethiopia"	"None"
"ETH"	2014	"Ethiopia"	"None"
"ETH"	2015	"Ethiopia"	"None"
"LBR"	1890	"Liberia"	"None"
"LBR"	1891	"Liberia"	"None"
"LBR"	1892	"Liberia"	"None"
"LBR"	1893	"Liberia"	"None"
"LBR"	1894	"Liberia"	"None"
"LBR"	1895	"Liberia"	"None"
"LBR"	1896	"Liberia"	"None"
"LBR"	1897	"Liberia"	"None"
"LBR"	1898	"Liberia"	"None"
"LBR"	1899	"Liberia"	"None"
"LBR"	1900	"Liberia"	"None"
"LBR"	1901	"Liberia"	"None"
"LBR"	1902	"Liberia"	"None"
"LBR"	1903	"Liberia"	"None"
"LBR"	1904	"Liberia"	"None"
"LBR"	1905	"Liberia"	"None"
"LBR"	1906	"Liberia"	"None"
"LBR"	1907	"Liberia"	"None"
"LBR"	1908	"Liberia"	"None"
"LBR"	1909	"Liberia"	"None"
"LBR"	1910	"Liberia"	"None"
"LBR"	1911	"Liberia"	"None"
"LBR"	1912	"Liberia"	"None"
"LBR"	1913	"Liberia"	"None"
"LBR"	1914	"Liberia"	"None"
"LBR"	1915	"Liberia"	"None"
"LBR"	1916	"Liberia"	"None"
"LBR"	1917	"Liberia"	"None"
"LBR"	1918	"Liberia"	"None"
"LBR"	1919	"Liberia"	"None"
"LBR"	1920	"Liberia"	"None"
"LBR"	1921	"Liberia"	"None"
"LBR"	1922	"Liberia"	"None"
"LBR"	1923	"Liberia"	"None"
"LBR"	1924	"Liberia"	"None"
"LBR"	1925	"Liberia"	"None"
"LBR"	1926	"Liberia"	"None"
"LBR"	1927	"Liberia"	"None"
