STU_ID	weights_notvc	weights_tvc	weights_all_pscore
105127.0	0.2661624786533301	0.49283963359566507	1.8769885890448785
105128.0	1.0	1.0	1.0
105129.0	1.0	1.0	1.0
105130.0	1.0	1.0	1.0
105132.0	1.0	1.0	1.0
105161.0	1.0		1.0
105201.0	1.0	1.0	1.0
105202.0	1.0	1.0	1.0
105205.0	1.0	1.0	1.0
105207.0	0.5323249573066602		1.8769885890448785
105208.0	1.0	1.0	1.0
105209.0	1.0	1.0	1.0
105211.0	1.0	1.0	1.0
105213.0	1.0	1.0	1.0
105217.0	1.0	1.0	1.0
105218.0	1.0	1.0	1.0
105220.0	0.5323249573066602	0.12320990839891627	1.2005172202528969
105226.0	1.0	1.0	1.0
105227.0	1.0	1.0	1.0
105228.0	0.5323249573066602	0.24641981679783254	3.1522313478484465
106101.0	1.0	1.0	0.9999999999999999
106103.0	1.0	1.0	1.0
106104.0	1.0	1.0	1.0
106105.0	1.0	1.0	1.0
106106.0	0.6654061966333252	0.3696297251967488	4.665766203134516
106108.0	1.0	1.0	1.0
106109.0	1.0		1.0
106110.0	1.0	1.0	1.0
106111.0	1.0	1.0	1.0
106112.0	1.0	1.0	1.0
106113.0	0.6654061966333252	1.2320990839891628	4.884828050459116
106115.0	1.0	1.0	1.0
106117.0	1.0	1.0	1.0
106124.0	1.0	1.0	1.0
106125.0	1.0	1.0	1.0
106126.0	1.0	1.0	1.0
106127.0	1.0	1.0	1.0
106128.0	1.0	1.0	1.0
106129.0	1.0	1.0	1.0
106202.0	1.0	1.0	1.0
106203.0	1.0	1.0	1.0
106204.0	1.0	1.0	1.0
106206.0	1.0	1.0	1.0
106207.0	1.0	1.0	1.0
106208.0	0.2661624786533301	0.24641981679783254	1.2005172202528969
106209.0	1.0	1.0	0.9999999999999999
106211.0	1.0	1.0	1.0
106213.0	1.0	1.0	1.0
107101.0	1.0	1.0	1.0
107104.0	1.0	1.0	1.0
107108.0	0.2661624786533301	0.49283963359566507	3.2341114992563353
107109.0	1.0	1.0	1.0
107110.0	1.0	1.0	1.0
107113.0	0.39924371797999514	0.24641981679783254	3.1522313478484465
107114.0	0.6654061966333252		1.8769885890448785
107115.0	1.0	1.0	1.0
107116.0	1.0	1.0	1.0
107119.0	1.0	1.0	1.0
107122.0	0.2661624786533301		3.9331496763360567
107124.0	1.0	1.0	1.0
107125.0	1.0	1.0	1.0
107126.0		0.12320990839891627	1.2005172202528969
107128.0	1.0	1.0	1.0
107129.0	1.0	1.0	1.0
107130.0	0.5323249573066602	0.7392594503934976	4.884828050459116
107132.0	1.0	1.0	1.0
107201.0	0.9315686752866553	0.3696297251967488	4.547639897583732
107206.0	0.13308123932666505	0.6160495419945814	4.288805904717702
107207.0	1.0	1.0	1.0
107209.0	8.251036838253233	9.733582763514386	59.66227062300714
107211.0		0.12320990839891627	3.2341114992563353
107212.0	1.0	1.0	1.0
107213.0	0.2661624786533301	0.24641981679783254	1.231701013862836
107215.0	1.0	1.0	1.0
107216.0		0.12320990839891627	2.0161593082666203
107218.0	0.6654061966333252		4.262513111320294
107221.0	0.2661624786533301	0.24641981679783254	4.884828050459116
107222.0	1.0	1.0	1.0
107223.0	1.7300561112466455	3.203457618371823	15.75005605003269
107224.0	1.0	1.0	1.0
107226.0	0.9315686752866553	1.6017288091859114	46.266444235786025
108101.0	1.0	1.0	1.0
108106.0	1.0	1.0	1.0
108109.0	1.0	1.0	0.9999999999999999
108110.0	1.0	1.0	1.0
108111.0	1.0	1.0	1.0
108115.0	1.0	1.0	1.0
108117.0	1.0	1.0	1.0
108120.0	1.0	1.0	1.0
108122.0	1.0	1.0	1.0
108125.0	1.0	1.0	1.0
108126.0	1.0	1.0	1.0
108129.0	1.0	1.0	1.0
108201.0	1.0	1.0	1.0
108204.0	1.0	1.0	1.0
108206.0	1.0	1.0	1.0
108207.0	1.0	1.0	0.9999999999999999
108208.0	1.0	1.0	1.0
108210.0	1.0	1.0	1.0
108211.0	0.13308123932666505	0.7392594503934976	3.1522313478484465
108212.0	1.0	1.0	1.0
108217.0	1.0	1.0	1.0
108221.0	1.0	1.0	1.0
108226.0	1.0	1.0	1.0
108227.0	1.0	1.0	1.0
108228.0	1.0	1.0	1.0
108229.0	0.7984874359599903	0.49283963359566507	4.884828050459116
108230.0	1.0	1.0	1.0
109103.0	1.0	1.0	0.9999999999999999
109104.0	1.0	1.0	1.0
109105.0	1.0	1.0	1.0
109109.0	1.0	1.0	1.0
109113.0	1.0	1.0	1.0
109115.0	1.0	1.0	1.0
109119.0	1.0	1.0	1.0
109120.0	1.0	1.0	1.0
109121.0	1.0	1.0	1.0
109122.0	1.0	1.0	1.0
109124.0	1.0	1.0	1.0
109127.0	1.0	1.0	1.0
109128.0	1.0	1.0	1.0
109202.0	1.0	1.0	1.0
109204.0	1.0	1.0	1.0
109205.0	1.0		1.0
109208.0	1.0	1.0	1.0
109210.0	1.0	1.0	1.0
109211.0	1.0	1.0	1.0
109212.0	1.0	1.0	1.0
109213.0	1.0	1.0	1.0
109214.0	1.0	1.0	1.0
109215.0	1.0		1.0
109216.0	1.0	1.0	1.0
109218.0	1.0	1.0	1.0
109220.0	1.0	1.0	1.0
109221.0	1.0	1.0	1.0
109222.0	1.0	1.0	1.0
109230.0	1.0	1.0	1.0
109232.0	0.13308123932666505		2.0161593082666203
110101.0	1.0	1.0	1.0
110104.0	1.0	1.0	1.0
110106.0	1.0	1.0	1.0
110108.0	1.0	1.0	1.0
110109.0	1.0	1.0	1.0
110116.0	1.0	1.0	1.0
110118.0	1.0	1.0	1.0
110119.0	1.0	1.0	1.0
110120.0	1.0	1.0	1.0
110122.0	1.0	1.0	1.0
110123.0	1.0	1.0	1.0
110126.0	1.0	1.0	1.0
110127.0	1.0	1.0	1.0
110129.0	1.0		1.0
110201.0	1.0	1.0	1.0
110202.0	1.0	1.0	1.0
110203.0	1.0	1.0	1.0
110204.0	1.0	1.0	1.0
110205.0	1.0	1.0	1.0
110207.0	1.0	1.0	1.0
110210.0	1.0	1.0	1.0
110211.0	1.0	1.0	1.0
110213.0	1.0	1.0	1.0
110214.0	1.0	1.0	1.0
110215.0	1.0	1.0	1.0
110219.0	1.0	1.0	1.0
110221.0	1.0646499146133204	0.7392594503934976	4.884828050459116
110227.0	1.0	1.0	1.0
110228.0	1.0	1.0	1.0
111101.0	1.0	1.0	1.0
111103.0	0.39924371797999514	0.3696297251967488	2.726292755086865
111107.0	1.0	1.0	0.9999999999999999
111113.0	1.0	1.0	0.9999999999999999
111114.0	1.0	1.0	0.9999999999999999
111117.0	1.0	1.0	1.0
111120.0	1.0	1.0	1.0
111122.0	1.0		0.9999999999999999
111124.0	1.0	1.0	1.0
111126.0	1.0	1.0	1.0
111128.0	1.0	1.0	1.0
111130.0	1.0		1.0
111131.0	1.0	1.0	1.0
111132.0	0.9315686752866553	1.2320990839891628	4.665766203134516
111134.0	0.39924371797999514		2.538103199837549
111161.0	1.0		1.0
111162.0	1.0		1.0
111203.0	1.0	1.0	1.0
111204.0	1.0646499146133204	1.848148625983744	7.637346933038275
111206.0	1.0	1.0	1.0
111208.0	1.0	1.0	1.0
111210.0	1.0	1.0	1.0
111211.0	1.0	1.0	1.0
111213.0	1.0	1.0	0.9999999999999999
111214.0	1.0	1.0	1.0
111218.0	0.2661624786533301		1.8769885890448785
111219.0	0.13308123932666505		1.231701013862836
111220.0	1.0	1.0	1.0
112104.0	1.0	1.0	1.0
112105.0	1.0	1.0	1.0
112106.0	1.0	1.0	1.0
112107.0	1.0	1.0	1.0
112113.0	1.0	1.0	1.0
112115.0	1.0	1.0	1.0
112116.0	1.0	1.0	1.0
112120.0	5.456330812393267	3.573087343568572	24.624949133591766
112122.0	1.0	1.0	1.0
112203.0	1.0	1.0	1.0
112206.0	1.0	1.0	0.9999999999999999
112209.0	1.0	1.0	0.9999999999999999
112210.0	1.0	1.0	1.0
112211.0	1.0	1.0	0.9999999999999999
112214.0	1.0	1.0	1.0
112218.0	1.0	1.0	1.0
112219.0	1.0	1.0	1.0
112220.0	1.0	1.0	1.0
112228.0	1.0		1.0
112229.0	1.0	1.0	1.0
112231.0	1.0	1.0	1.0
112232.0	1.0	1.0	1.0
112234.0	1.0	1.0	0.9999999999999999
113103.0	1.0646499146133204	1.1088891755902464	6.705476279705192
113107.0	1.0	1.0	1.0
113109.0	1.0	1.0	1.0
113111.0	1.0	1.0	1.0
113113.0	1.0	1.0	1.0
113114.0	1.0	1.0	1.0
113117.0	0.5323249573066602	0.3696297251967488	3.1522313478484465
113118.0	1.0	1.0	1.0
113120.0	1.0	1.0	0.9999999999999999
113127.0	1.0	1.0	1.0
113130.0	1.0	1.0	1.0
113131.0	1.5969748719199806	1.6017288091859114	6.705476279705192
113201.0	1.0	1.0	1.0
113203.0	1.0	1.0	1.0
113204.0	1.0	1.0	1.0
113207.0	1.0	1.0	1.0
113208.0	0.9315686752866553		8.357318009767718
113212.0	1.0	1.0	1.0
113213.0	1.0	1.0	1.0
113214.0	1.0	1.0	0.9999999999999999
113216.0	1.0	1.0	1.0
113218.0	1.0	1.0	1.0
113221.0	1.0	1.0	0.9999999999999999
113222.0	1.0	1.0	1.0
113225.0	0.9315686752866553	0.9856792671913301	8.976977588399484
113227.0	0.2661624786533301		2.0685296488940534
113229.0	1.0	1.0	1.0
113232.0	1.4638936325933154		4.288805904717702
113262.0	1.0		0.9999999999999999
114101.0	1.0	1.0	1.0
114102.0	1.0	1.0	1.0
114103.0	1.0	1.0	1.0
114104.0	1.0	1.0	1.0
114105.0	3.327030983166626	3.0802477099729066	72.33681151858666
114107.0	1.0	1.0	0.9999999999999999
114108.0	1.0	1.0	1.0
114109.0	1.0	1.0	1.0
114111.0	1.0		1.0
114113.0	1.0	1.0	1.0
114114.0	0.39924371797999514	0.3696297251967488	3.1522313478484465
114115.0	1.0	1.0	1.0
114116.0	1.0	1.0	1.0
114118.0	1.0	1.0	1.0
114121.0	1.0	1.0	0.9999999999999999
114122.0	1.0	1.0	1.0
114123.0	1.0	1.0	1.0
114124.0	1.0	1.0	1.0
114125.0	1.0	1.0	1.0
114126.0	1.0	1.0	1.0
114127.0	1.0	1.0	1.0
114129.0	1.0	1.0	1.0
114130.0	1.0	1.0	1.0
114202.0	1.0	1.0	1.0
114205.0	1.0	1.0	0.9999999999999999
114213.0	1.0	1.0	1.0
114220.0	1.0	1.0	1.0
114221.0		0.24641981679783254	2.0161593082666203
114222.0	1.0	1.0	1.0
115101.0	1.8631373505733106	1.355308992388079	15.75005605003269
115104.0	1.0		1.0
115105.0	1.0	1.0	1.0
115106.0	1.0	1.0	1.0
115108.0	1.0	1.0	1.0
115111.0	1.0	1.0	1.0
115112.0	0.5323249573066602	0.24641981679783254	4.547639897583732
115113.0	1.0	1.0	1.0
115115.0	0.2661624786533301	0.49283963359566507	4.288805904717702
115117.0	1.0	1.0	1.0
115118.0	1.0	1.0	1.0
115123.0	0.13308123932666505	0.7392594503934976	2.0161593082666203
115124.0	1.0		1.0
115130.0	1.0	1.0	1.0
115203.0	1.0	1.0	1.0
115204.0	1.0	1.0	1.0
115205.0	1.0	1.0	1.0
115208.0	1.0	1.0	1.0
115210.0	1.0	1.0	1.0
115214.0	1.0	1.0	1.0
115216.0	1.0	1.0	0.9999999999999999
115217.0	1.0	1.0	1.0
115221.0	1.0	1.0	1.0
115227.0	0.13308123932666505	0.6160495419945814	1.8769885890448785
116101.0	1.0	1.0	0.9999999999999999
116104.0	0.13308123932666505	0.12320990839891627	2.0161593082666203
116108.0	0.5323249573066602	0.49283963359566507	2.9086591364609804
116109.0	0.5323249573066602	0.12320990839891627	3.9331496763360567
116113.0	1.0	1.0	1.0
116115.0	0.39924371797999514	0.3696297251967488	4.400208919942778
116116.0	6.654061966333252	6.2837053283447295	38.15983948989048
116117.0		0.12320990839891627	2.0161593082666203
116118.0	1.0	1.0	1.0
116121.0	1.0	1.0	1.0
116123.0	1.5969748719199806	0.9856792671913301	10.391083333762648
116126.0	1.0	1.0	1.0
116202.0	1.0	1.0	1.0
116203.0	1.0	1.0	1.0
116205.0	1.0	1.0	1.0
116208.0	1.0	1.0	1.0
116213.0	1.0	1.0	1.0
116215.0	1.8631373505733106	0.6160495419945814	6.705476279705192
116216.0	1.0	1.0	0.9999999999999999
116218.0	1.0	1.0	1.0
116219.0	0.2661624786533301	0.49283963359566507	4.288805904717702
116228.0	0.39924371797999514	0.3696297251967488	1.9257439286448021
116229.0	1.0646499146133204	1.7249387175848279	10.391083333762648
116230.0	1.0	1.0	1.0
116233.0	1.3308123932666505	0.8624693587924139	16.66828705532458
117101.0	1.0	1.0	1.0
117102.0	1.0	1.0	1.0
117106.0	1.0	1.0	1.0
117119.0	1.0	1.0	1.0
117121.0	1.0	1.0	1.0
117123.0	1.0	1.0	1.0
117125.0	1.0	1.0	1.0
117204.0	1.0	1.0	1.0
117205.0	1.0	1.0	1.0
117206.0	1.0	1.0	1.0
117207.0	1.0	1.0	1.0
117208.0	1.0	1.0	1.0
117209.0	1.0	1.0	1.0
117210.0	1.0	1.0	1.0
117212.0	1.0	1.0	1.0
117213.0	0.39924371797999514	0.49283963359566507	2.0161593082666203
117214.0	1.0	1.0	1.0
117216.0	1.0	1.0	1.0
117219.0	1.0	1.0	1.0
117221.0	1.0	1.0	1.0
117222.0	1.0	1.0	1.0
118103.0	1.0	1.0	1.0
118104.0	1.0		0.9999999999999999
118105.0	0.5323249573066602		4.288805904717702
118108.0	1.0	1.0	1.0
118112.0	1.0		1.0
118118.0	1.0	1.0	1.0
118128.0	1.0	1.0	1.0
118204.0	1.0	1.0	1.0
118206.0	0.7984874359599903	0.24641981679783254	4.288805904717702
118207.0		0.12320990839891627	2.0161593082666203
118208.0	1.0		1.0
118216.0	1.0	1.0	1.0
118217.0	1.0	1.0	1.0
118219.0	1.0	1.0	1.0
118220.0	1.0	1.0	1.0
118224.0	1.0	1.0	1.0
118228.0	0.13308123932666505		3.1522313478484465
118230.0	1.4638936325933154	1.6017288091859114	7.637346933038275
118231.0	1.0		1.0
119101.0	1.0	1.0	1.0
119103.0	0.9315686752866553	0.49283963359566507	4.884828050459116
119104.0	1.0	1.0	1.0
