scenario_id,scenario_number,true_lag_order,rho_D,carryover,N,T,replication,seed,estimator_id,estimator,selection_criterion,selected_lag,selection_correct,control_spec,beta_true,beta_hat,se,ci_lower,ci_upper,coverage_cet,residual_acf1,aic,bic,nobs,n_clusters,condition_number,delta_z_lag_minus_none,delta_z_contemporaneous_minus_none,status,error_stage,error_message
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_contemporaneous",1,0.994230066156203,0.0209984663854952,0.953073828310058,1.03538630400235,TRUE,-0.0271526627791576,-161.320924286587,-125.282718880686,3000,100,17.8341008514532,-0.0284499529255615,-0.0433504715676838,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"no_Z",1,1.03526362949821,0.0206304038659422,0.994828780934447,1.07569847806197,TRUE,0.00806235975770861,-35.7388714419829,-17.7197687390321,3000,100,7.68853946221971,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_lag",1,1.00732197841228,0.0201215306085956,0.967884503105613,1.04675945371895,TRUE,0.0133893155394959,-198.964621963834,-174.939151693233,3000,100,7.50164280981863,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_contemporaneous",1,0.992185940621308,0.0208747098981833,0.951272261033147,1.03309962020947,TRUE,-0.0191984643269069,-159.613908054846,-135.588437784245,3000,100,7.20054037735158,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"no_Z",1,1.03812831055179,0.0207629032666112,0.997433767934741,1.07882285316883,TRUE,0.00610207822181576,-39.8454568415011,2.19911613205058,3000,100,27.4695753914089,-0.0292838721154252,-0.0436489638332337,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"Z_lag",1,1.00884443843636,0.0202802970545054,0.969095786613759,1.04859309025897,TRUE,0.000401524846887375,-206.0821162381,-158.031175696898,3000,100,26.1597066354272,-0.0292838721154252,-0.0436489638332337,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"Z_contemporaneous",1,0.994479346718554,0.021189365298791,0.952948953877661,1.03600973955945,TRUE,-0.0255792610948509,-164.501210927278,-116.450270386076,3000,100,26.3778394207332,-0.0292838721154252,-0.0436489638332337,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"no_Z",1,1.03526362949821,0.0206304038659422,0.994828780934447,1.07569847806197,TRUE,0.00806235975770861,-35.7388714419829,-17.7197687390321,3000,100,7.68853946221971,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_lag",1,1.00732197841228,0.0201215306085956,0.967884503105613,1.04675945371895,TRUE,0.0133893155394959,-198.964621963834,-174.939151693233,3000,100,7.50164280981863,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_contemporaneous",1,0.992185940621308,0.0208747098981833,0.951272261033147,1.03309962020947,TRUE,-0.0191984643269069,-159.613908054846,-135.588437784245,3000,100,7.20054037735158,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"no_Z",1,1.03880653186926,0.0167297729397569,1.0060167794378,1.07159628430072,FALSE,0.00813277674082499,-92.0825801238075,-74.0634774208568,3000,100,7.70246262581914,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_lag",1,1.00891864436533,0.0165658267225941,0.976450220614912,1.04138706811574,TRUE,0.0143672171996648,-189.393996274942,-165.368526004341,3000,100,7.31130752262485,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_contemporaneous",1,1.0017548381253,0.0163752067068401,0.969660022740499,1.03384965351011,TRUE,-0.00463993721816216,-155.712885636614,-131.687415366013,3000,100,7.2531103132745,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"no_Z",1,1.03893304741233,0.0167173407590422,1.00616766160732,1.07169843321734,FALSE,0.00306317730935698,-89.2020741084485,-59.1702362701973,3000,100,19.5110246155321,-0.0303890183768749,-0.0372308326143518,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_lag",1,1.00854402903545,0.0165778426041977,0.976052054589853,1.04103600348106,TRUE,0.000099518087932648,-187.6180849974,-151.579879591499,3000,100,18.6479499905234,-0.0303890183768749,-0.0372308326143518,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_contemporaneous",1,1.00170221479798,0.0163686278768325,0.969620293683048,1.03378413591291,TRUE,-0.012881959445561,-153.182156046633,-117.143950640732,3000,100,18.5236458977081,-0.0303890183768749,-0.0372308326143518,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"no_Z",1,1.03880653186926,0.0167297729397569,1.0060167794378,1.07159628430072,FALSE,0.00813277674082499,-92.0825801238075,-74.0634774208568,3000,100,7.70246262581914,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_lag",1,1.00891864436533,0.0165658267225941,0.976450220614912,1.04138706811574,TRUE,0.0143672171996648,-189.393996274942,-165.368526004341,3000,100,7.31130752262485,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_contemporaneous",1,1.0017548381253,0.0163752067068401,0.969660022740499,1.03384965351011,TRUE,-0.00463993721816216,-155.712885636614,-131.687415366013,3000,100,7.2531103132745,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
