path,md5,bytes,csv_header,static_validation
simulations/nonlinearity/results/sim_nl_interact_results.csv,5693affc63d054d158e8cccb1cbbd18c,7598,delta_DH|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|n_sims|n_discarded,PASS
simulations/nonlinearity/results/sim_nl_interact_raw.csv,62962188ab95fc2e0211565080577054,831750,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|sim|delta_DH|rho_Z,PASS
simulations/nonlinearity/results/sim_nl_interact_timing.csv,28b66dd03707d10a47e603b6550a7bdd,292,delta_DH|rho_Z|elapsed_s|n_discarded|total_s,PASS
simulations/nonlinearity/results/sim_overcontrol_contemporaneous_results.csv,c426434b77997072b095a3d2abe0d282,15433,nl_type|nl_strength|rho_Z|twfe_s_mean|twfe_s_mcse|twfe_bad_mean|twfe_bad_mcse|adl_Ylag_mean|adl_Ylag_mcse|adl_total_mean|adl_total_mcse|adl_bad_mean|adl_bad_mcse|adl_safe_mean|adl_safe_mcse|adl_both_mean|adl_both_mcse|ivb_twfe_diff_mean|ivb_twfe_formula_mean|ivb_twfe_formula_gap|ivb_adl_diff_mean|ivb_adl_formula_mean|ivb_adl_formula_gap|n_sims|twfe_s_bias_vs_total|twfe_bad_bias_vs_direct|adl_total_bias_vs_total|adl_bad_bias_vs_direct|adl_safe_bias_vs_total|overcontrol_twfe|overcontrol_adl|safe_shift_adl,PASS
simulations/nonlinearity/results/sim_overcontrol_contemporaneous_raw.csv,4d118a1ebcef2b10cf3d2b4e96af74ef,3670455,twfe_s|twfe_bad|adl_Ylag|adl_total|adl_bad|adl_safe|adl_both|theta_twfe_bad|theta_adl_bad|pi_twfe|pi_adl|ivb_twfe_formula|ivb_adl_formula|ivb_twfe_diff|ivb_adl_diff|sim|nl_type|nl_strength|rho_Z,PASS
simulations/nonlinearity/results/sim_overcontrol_contemporaneous_timing.csv,b477293f6c5ba69d0e553d2aedcfb50b,110,started_at|finished_at|elapsed_minutes,PASS
simulations/overcontrol/results/sim_overcontrol_results.csv,69480d070563983c0a9766478bff6302,32026,variant|rho_Z|nl_type|nl_strength|gamma_D|gamma_Y|twfe_s|twfe_Z|twfe_Zlag|adl_Ylag|adl_Ylag_Z|adl_Ylag_Zlag|adl_DYlag|adl_DYlag_Z|adl_all|adl_all_nofe|n_valid|n_discarded|twfe_s_bias_direct|twfe_Z_bias_direct|twfe_Zlag_bias_direct|adl_Ylag_bias_direct|adl_Ylag_Z_bias_direct|adl_Ylag_Zlag_bias_direct|adl_DYlag_bias_direct|adl_DYlag_Z_bias_direct|adl_all_bias_direct|adl_all_nofe_bias_direct|twfe_s_bias_total_linear|twfe_Z_bias_total_linear|twfe_Zlag_bias_total_linear|adl_Ylag_bias_total_linear|adl_Ylag_Z_bias_total_linear|adl_Ylag_Zlag_bias_total_linear|adl_DYlag_bias_total_linear|adl_DYlag_Z_bias_total_linear|adl_all_bias_total_linear|adl_all_nofe_bias_total_linear|empirical_total|twfe_s_bias_empirical|twfe_Z_bias_empirical|twfe_Zlag_bias_empirical|adl_Ylag_bias_empirical|adl_Ylag_Z_bias_empirical|adl_Ylag_Zlag_bias_empirical|adl_DYlag_bias_empirical|adl_DYlag_Z_bias_empirical|adl_all_bias_empirical|adl_all_nofe_bias_empirical|ivb_twfe|ivb_adl_Ylag|ivb_adl_DYlag|expected_ivb_linear,PASS
simulations/overcontrol/results/sim_overcontrol_raw.csv,def0176159f884a8cdfaddc51c8f29ae,3899487,twfe_s|twfe_Z|twfe_Zlag|adl_Ylag|adl_Ylag_Z|adl_Ylag_Zlag|adl_DYlag|adl_DYlag_Z|adl_all|adl_all_nofe|sim|variant|nl_type|nl_strength|rho_Z|gamma_D|gamma_Y|n_discarded|n_valid,PASS
simulations/overcontrol/results/sim_overcontrol_grid.csv,b460dee64b0f278739f21139f9944527,2708,variant_idx|nl_idx|rho_Z|variant|gamma_D|gamma_Y|nl_type|nl_strength|delta_D2|delta_log4|delta_softpoly2|delta_power15|delta_sin|delta_invlogit|delta_tanh|delta_Dlog,PASS
simulations/dynamics/results/sim_persistent_confounder_results.csv,92fe8a5c65711503d6241ccf54d7c1f6,44342,kappa|phi_U|rho_Z|delta_U|twfe_s_mean|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_mean|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_mean|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_mean|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_mean|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_mean|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_mean|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_mean|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_mean|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|oracle_adl_mean|oracle_adl_bias|oracle_adl_mcse|oracle_adl_sd|oracle_adl_rmse|oracle_twfe_mean|oracle_twfe_bias|oracle_twfe_mcse|oracle_twfe_sd|oracle_twfe_rmse|lagid_mean|lagid_dev|lagid_mcse|lagid_sd|lagid_ctl_mean|lagid_ctl_dev|lagid_ctl_mcse|lagid_ctl_sd|n_sims|cor_DU_mean|n_discarded,PASS
simulations/dynamics/results/sim_persistent_confounder_raw.csv,4ea07050167bf643fbed660ade434c9f,4636755,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|oracle_adl.D|oracle_twfe.D|lagid.D_lag|lagid_ctl.D_lag|sim|cor_DU|kappa|phi_U|rho_Z|delta_U,PASS
simulations/dynamics/results/sim_persistent_confounder_timing.csv,184552a53a7424a7416d4d214a1ef5c4,842,kappa|phi_U|rho_Z|delta_U|n_discarded|total_s,PASS
simulations/dynamics/results/sim_staggered_posttreat_results.csv,b9de7cb94f0a1f9460968e50786ed3f7,13135,prob_never|rho_Y|delta_Y|rho_Z|twfe_s_mean|twfe_s_bias|twfe_s_mcse|twfe_l_mean|twfe_l_bias|twfe_l_mcse|adl_Ylag_mean|adl_Ylag_bias|adl_Ylag_mcse|adl_full_mean|adl_full_bias|adl_full_mcse|adl_Dlag_mean|adl_Dlag_bias|adl_Dlag_mcse|adl_DYlag_mean|adl_DYlag_bias|adl_DYlag_mcse|adl_DZlag_mean|adl_DZlag_bias|adl_DZlag_mcse|adl_all_mean|adl_all_bias|adl_all_mcse|adl_all_nofe_mean|adl_all_nofe_bias|adl_all_nofe_mcse|n_sims,PASS
simulations/dynamics/results/sim_staggered_posttreat_raw.csv,3f06af5e193c549f9f5549d76a325674,2078787,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|sim|prob_never|rho_Y|delta_Y|rho_Z,PASS
simulations/dynamics/results/sim_staggered_posttreat_timing.csv,51c472cf144272524793c5134382525e,635,prob_never|rho_Y|delta_Y|rho_Z|n_discarded|total_s,PASS
simulations/v1_twfe/sim_ivb_twfe_results.csv,2ac1f369ab903b6e55e35c25d41c3c15,146951,gamma_Y|gamma_D|delta|R2_within|N|TT|beta|stable|mean_beta_short|mean_beta_long|mean_ivb|mean_ivb_formula|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|mean_abs_ivb_over_sd_y|bias_short|bias_long|rmse_short|rmse_long|coverage_short|coverage_long|rejection_short|rejection_long,PASS
simulations/v4_mechanisms/results/sim_ivb_twfe_v4_mechA.csv,65aaf3f6bfeb3e41a32c5158a4b4ba29,32532,mean_beta_short|mean_beta_long|mean_ivb|mean_ivb_formula|mean_theta|mean_pi|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|mean_se_short|mean_se_long|bias_short|bias_long|rmse_short|rmse_long|coverage_short|coverage_long|mechanism|gamma_D_btw|gamma_D_wth|gamma_Y|R2_within|N|TT|beta,PASS
simulations/v4_mechanisms/results/sim_ivb_twfe_v4_mechB.csv,9348dfd74eecddfa8b1d902ebb4b6bdd,21803,mean_beta_short|mean_beta_long|mean_ivb|mean_ivb_formula|mean_theta|mean_pi|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|mean_se_short|mean_se_long|bias_short|bias_long|rmse_short|rmse_long|coverage_short|coverage_long|mechanism|gamma_D|gamma_Y_btw|gamma_Y_wth|R2_within|N|TT|beta,PASS
simulations/v4_mechanisms/results/sim_ivb_twfe_v4_mechC.csv,333575ebc0d1150d48a289b078145cf5,4892,mean_beta_short|mean_beta_long|mean_ivb|mean_ivb_formula|mean_theta|mean_pi|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|mean_se_short|mean_se_long|bias_short|bias_long|rmse_short|rmse_long|coverage_short|coverage_long|mechanism|gamma_D|gamma_Y|prob_switch|N|TT|beta,PASS
simulations/v4_mechanisms/results/sim_ivb_twfe_v4_mechD.csv,0ab671c8231567193abfdb835cf35ba0,4898,mean_beta_short|mean_beta_long|mean_ivb|mean_ivb_formula|mean_theta|mean_pi|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|mean_se_short|mean_se_long|bias_short|bias_long|rmse_short|rmse_long|coverage_short|coverage_long|mechanism|gamma_D|gamma_Y|sigma2_me|N|TT|beta,PASS
