scenario_id,estimator_id,estimator_label,N,T,rho_Y,bias,mean_delta_z,coverage,phase_condition
P_N250_T08_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,8,0.2,0.0336542637293746,-0.0356466857903913,0.76,FALSE
P_N250_T08_RY50,fe_adl,FE-ADL within,250,8,0.5,0.013777023171741,-0.028298838809125,0.904,FALSE
P_N250_T08_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,8,0.5,0.0454296317922152,-0.0348732032080093,0.7,TRUE
P_N250_T08_RY80,fe_adl,FE-ADL within,250,8,0.8,-0.015565866565747,-0.0276076637543665,0.932,FALSE
P_N250_T08_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,8,0.8,0.0349465855163318,-0.0345437928686724,0.798,TRUE
P_N250_T10_RY20,fe_adl,FE-ADL within,250,10,0.2,0.0191454018299867,-0.0308123085086619,0.858,FALSE
P_N250_T10_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,10,0.2,0.0239269292472066,-0.0367073991916727,0.82,FALSE
P_N250_T10_RY50,fe_adl,FE-ADL within,250,10,0.5,0.0158637541541272,-0.0298140053995926,0.858,FALSE
P_N250_T10_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,10,0.5,0.0324927829844525,-0.035547153513323,0.722,FALSE
P_N250_T10_RY80,fe_adl,FE-ADL within,250,10,0.8,-0.00768555723321343,-0.0293274572952115,0.93,FALSE
P_N250_T10_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,10,0.8,0.0275824076926481,-0.0357779552338999,0.796,FALSE
P_N250_T15_RY20,fe_adl,FE-ADL within,250,15,0.2,0.0129553113549338,-0.0333309254214128,0.88,FALSE
P_N250_T15_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,15,0.2,0.00960580547480212,-0.0379494966762425,0.908,FALSE
P_N250_T15_RY50,fe_adl,FE-ADL within,250,15,0.5,0.0146163181513371,-0.0316871656051585,0.846,FALSE
P_N250_T15_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,15,0.5,0.0177789504897504,-0.0356314685271254,0.816,FALSE
P_N250_T15_RY80,fe_adl,FE-ADL within,250,15,0.8,-0.00018685847210626,-0.0313371857844786,0.956,FALSE
P_N250_T15_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,15,0.8,0.0180322830160672,-0.035878261807835,0.832,FALSE
